               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060243,            0.021785,                   0,             0.59233,               0.796,             0.71643,             0.21947,            0.040523,           0.0095562,                   0,           0.0033317,           0.0033317,            0.070015
                   1,            0.040278,            0.011575,                   0,              0.7774,               0.952,             0.81979,             0.38626,            0.032366,            0.006311,                   0,           0.0064451,           0.0064451,            0.039795
                   2,            0.035966,           0.0087981,                   0,              0.9597,             0.96813,             0.98055,             0.54507,            0.028086,           0.0047884,                   0,           0.0093384,           0.0093384,           0.0093551
                   3,            0.031757,           0.0074603,                   0,             0.98912,             0.97211,             0.98683,             0.49562,            0.026539,            0.003952,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.026877,            0.006559,                   0,             0.97321,             0.98406,             0.98899,             0.64535,            0.020684,           0.0036638,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.023574,           0.0062375,                   0,             0.97669,             0.98406,             0.98672,             0.70929,            0.017298,           0.0032919,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.021502,           0.0056703,                   0,             0.97561,             0.99203,             0.99424,             0.73518,            0.017005,           0.0030629,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.019827,           0.0052161,                   0,             0.98804,             0.98736,             0.99476,             0.77892,            0.014521,            0.002894,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.019203,           0.0053177,                   0,             0.99444,             0.99602,               0.995,              0.7417,            0.015237,           0.0028649,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.018617,           0.0052483,                   0,             0.98936,             0.99203,              0.9935,             0.77748,            0.013505,           0.0027955,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.017126,           0.0049066,                   0,             0.98353,                   1,             0.99452,             0.78397,            0.013627,            0.002614,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.016784,           0.0049557,                   0,             0.99196,             0.98805,             0.99488,             0.78807,            0.013362,           0.0026054,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.016359,           0.0047869,                   0,             0.98802,             0.99203,             0.99484,             0.80064,            0.012827,           0.0025457,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.015589,           0.0046289,                   0,             0.98793,             0.99602,             0.99496,             0.81417,            0.012048,           0.0024148,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.015373,           0.0045479,                   0,             0.99082,             0.99203,             0.99492,              0.8229,            0.011759,           0.0024323,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.015151,           0.0046115,                   0,             0.98042,                   1,             0.99403,             0.81422,            0.011838,           0.0024234,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.014398,            0.004482,                   0,             0.98817,             0.99874,             0.99456,             0.82376,            0.011764,           0.0023652,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.014188,           0.0044962,                   0,             0.97891,                   1,             0.99464,             0.81796,            0.011571,           0.0023411,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.01399,           0.0042433,                   0,              0.9936,             0.99602,              0.9948,             0.83014,             0.01117,           0.0022634,                   0,             0.00439,             0.00439,             0.00439
                  19,             0.01368,           0.0042993,                   0,             0.99171,                   1,             0.99464,               0.837,              0.0109,           0.0022722,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.013329,           0.0042247,                   0,             0.99136,                   1,             0.99476,             0.83083,            0.011148,           0.0021725,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.013187,           0.0042029,                   0,             0.99129,                   1,             0.99443,             0.84391,            0.010397,           0.0022156,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.012561,           0.0040779,                   0,             0.99145,                   1,             0.99393,             0.83756,             0.01048,           0.0021455,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.012719,           0.0042041,                   0,             0.99575,                   1,              0.9948,             0.84184,            0.010274,           0.0021231,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.012186,           0.0039349,                   0,             0.99147,                   1,              0.9948,             0.84121,           0.0099354,           0.0021093,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.012294,           0.0041325,                   0,             0.99208,             0.99748,              0.9948,             0.84086,            0.010246,           0.0021274,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.01169,           0.0039123,                   0,             0.99209,             0.99929,             0.99411,             0.85364,           0.0097378,           0.0020731,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.011681,           0.0039262,                   0,             0.99208,                   1,             0.99456,             0.85474,           0.0096457,           0.0020629,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.011622,           0.0039222,                   0,             0.99093,                   1,             0.99476,              0.8574,           0.0096983,           0.0020614,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.011242,           0.0038256,                   0,             0.99161,                   1,             0.99476,             0.85959,           0.0094657,           0.0020134,                   0,             0.00076,             0.00076,             0.00076
